,depth,hid_feature,num_tfmamba,d_state,d_conv,expand,#parameters,model_size,#parameters(KB),exp_name
205,1,16,2,16,3,3,52081,255.291015625,50.8603515625,dep1_h16_tf2_ds16_dc3_ex3
206,1,16,2,16,3,4,65393,307.291015625,63.8603515625,dep1_h16_tf2_ds16_dc3_ex4
207,1,16,2,32,1,2,50545,249.291015625,49.3603515625,dep1_h16_tf2_ds32_dc1_ex2
208,1,16,2,32,1,3,69745,324.291015625,68.1103515625,dep1_h16_tf2_ds32_dc1_ex3
209,1,16,2,32,1,4,88945,399.291015625,86.8603515625,dep1_h16_tf2_ds32_dc1_ex4
210,1,16,2,32,2,2,50801,250.291015625,49.6103515625,dep1_h16_tf2_ds32_dc2_ex2
211,1,16,2,32,2,3,70129,325.791015625,68.4853515625,dep1_h16_tf2_ds32_dc2_ex3
212,1,16,2,32,2,4,89457,401.291015625,87.3603515625,dep1_h16_tf2_ds32_dc2_ex4
213,1,16,2,32,3,2,51057,251.291015625,49.8603515625,dep1_h16_tf2_ds32_dc3_ex2
214,1,16,2,32,3,3,70513,327.291015625,68.8603515625,dep1_h16_tf2_ds32_dc3_ex3
215,1,16,2,32,3,4,89969,403.291015625,87.8603515625,dep1_h16_tf2_ds32_dc3_ex4
216,1,16,3,4,1,2,38609,220.154296875,37.7041015625,dep1_h16_tf3_ds4_dc1_ex2
217,1,16,3,4,1,3,51281,269.654296875,50.0791015625,dep1_h16_tf3_ds4_dc1_ex3
218,1,16,3,4,1,4,63953,319.216796875,62.4541015625,dep1_h16_tf3_ds4_dc1_ex4
219,1,16,3,4,2,2,38993,221.654296875,38.0791015625,dep1_h16_tf3_ds4_dc2_ex2
220,1,16,3,4,2,3,51857,271.904296875,50.6416015625,dep1_h16_tf3_ds4_dc2_ex3
221,1,16,3,4,2,4,64721,322.216796875,63.2041015625,dep1_h16_tf3_ds4_dc2_ex4
222,1,16,3,4,3,2,39377,223.154296875,38.4541015625,dep1_h16_tf3_ds4_dc3_ex2
223,1,16,3,4,3,3,52433,274.154296875,51.2041015625,dep1_h16_tf3_ds4_dc3_ex3
224,1,16,3,4,3,4,65489,325.216796875,63.9541015625,dep1_h16_tf3_ds4_dc3_ex4
225,1,16,3,8,1,2,43217,238.216796875,42.2041015625,dep1_h16_tf3_ds8_dc1_ex2
226,1,16,3,8,1,3,58193,296.716796875,56.8291015625,dep1_h16_tf3_ds8_dc1_ex3
227,1,16,3,8,1,4,73169,355.216796875,71.4541015625,dep1_h16_tf3_ds8_dc1_ex4
228,1,16,3,8,2,2,43601,239.716796875,42.5791015625,dep1_h16_tf3_ds8_dc2_ex2
229,1,16,3,8,2,3,58769,298.966796875,57.3916015625,dep1_h16_tf3_ds8_dc2_ex3
230,1,16,3,8,2,4,73937,358.216796875,72.2041015625,dep1_h16_tf3_ds8_dc2_ex4
231,1,16,3,8,3,2,43985,241.216796875,42.9541015625,dep1_h16_tf3_ds8_dc3_ex2
232,1,16,3,8,3,3,59345,301.216796875,57.9541015625,dep1_h16_tf3_ds8_dc3_ex3
233,1,16,3,8,3,4,74705,361.216796875,72.9541015625,dep1_h16_tf3_ds8_dc3_ex4
234,1,16,3,16,1,2,52433,274.392578125,51.2041015625,dep1_h16_tf3_ds16_dc1_ex2
235,1,16,3,16,1,3,72017,350.892578125,70.3291015625,dep1_h16_tf3_ds16_dc1_ex3
236,1,16,3,16,1,4,91601,427.392578125,89.4541015625,dep1_h16_tf3_ds16_dc1_ex4
237,1,16,3,16,2,2,52817,275.892578125,51.5791015625,dep1_h16_tf3_ds16_dc2_ex2
238,1,16,3,16,2,3,72593,353.142578125,70.8916015625,dep1_h16_tf3_ds16_dc2_ex3
239,1,16,3,16,2,4,92369,430.392578125,90.2041015625,dep1_h16_tf3_ds16_dc2_ex4
240,1,16,3,16,3,2,53201,277.392578125,51.9541015625,dep1_h16_tf3_ds16_dc3_ex2
241,1,16,3,16,3,3,73169,355.392578125,71.4541015625,dep1_h16_tf3_ds16_dc3_ex3
242,1,16,3,16,3,4,93137,433.392578125,90.9541015625,dep1_h16_tf3_ds16_dc3_ex4
243,1,16,3,32,1,2,70865,346.392578125,69.2041015625,dep1_h16_tf3_ds32_dc1_ex2
244,1,16,3,32,1,3,99665,458.892578125,97.3291015625,dep1_h16_tf3_ds32_dc1_ex3
245,1,16,3,32,1,4,128465,571.392578125,125.4541015625,dep1_h16_tf3_ds32_dc1_ex4
246,1,16,3,32,2,2,71249,347.892578125,69.5791015625,dep1_h16_tf3_ds32_dc2_ex2
247,1,16,3,32,2,3,100241,461.142578125,97.8916015625,dep1_h16_tf3_ds32_dc2_ex3
248,1,16,3,32,2,4,129233,574.392578125,126.2041015625,dep1_h16_tf3_ds32_dc2_ex4
249,1,16,3,32,3,2,71633,349.392578125,69.9541015625,dep1_h16_tf3_ds32_dc3_ex2
250,1,16,3,32,3,3,100817,463.392578125,98.4541015625,dep1_h16_tf3_ds32_dc3_ex3
251,1,16,3,32,3,4,130001,577.392578125,126.9541015625,dep1_h16_tf3_ds32_dc3_ex4
252,1,16,4,4,1,2,48177,275.212890625,47.0478515625,dep1_h16_tf4_ds4_dc1_ex2
253,1,16,4,4,1,3,65073,341.212890625,63.5478515625,dep1_h16_tf4_ds4_dc1_ex3
254,1,16,4,4,1,4,81969,407.212890625,80.0478515625,dep1_h16_tf4_ds4_dc1_ex4
255,1,16,4,4,2,2,48689,277.212890625,47.5478515625,dep1_h16_tf4_ds4_dc2_ex2
256,1,16,4,4,2,3,65841,344.212890625,64.2978515625,dep1_h16_tf4_ds4_dc2_ex3
257,1,16,4,4,2,4,82993,411.212890625,81.0478515625,dep1_h16_tf4_ds4_dc2_ex4
258,1,16,4,4,3,2,49201,279.212890625,48.0478515625,dep1_h16_tf4_ds4_dc3_ex2
259,1,16,4,4,3,3,66609,347.212890625,65.0478515625,dep1_h16_tf4_ds4_dc3_ex3
